,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
FR_2_4_Red_34_T2,It’s not nice to speak that way to people!,21,Red,Marcus,6_MO_EI,5_MC,,,,,
FR_2_4_Wally_35_T1,Your highness! ,22,Wally,Julius,6_MO_EI,10_MC_EI,,,,,
FR_2_4_Wally_35_T2,Why would you let someone speak that way to one of your subjects!?,23,Wally,Julius,10_MO_EI,3_MC_EI,,,,,
FR_2_4_Julius_36_T1,…,24,Wally,Julius,10_MC_EI,21_MO_EO,,,,,
FR_2_4_Julius_36_T2,I…,25,Wally,Julius,7_MC_EI,21_MO_EI,,,,,
FR_2_4_Marcus_37_T1,ENOUGH!,26,Marcus,Julius,4_MO,10_MC_EI,,,,,shake
FR_2_4_Marcus_37_T2,How many times do we have to tell you that the Prince can do as he pleases! ,27,Marcus,Julius,5_MO,3_MC_EI,,,,,
FR_2_4_Marcus_37_T3,And since we are his friends~ we can do the same!,28,Marcus,Julius,4_MO,3_MC_EO,,,,,
FR_2_4_Brutus_38_T1,Yeah…,29,Marcus,Brutus,5_MC,6_MO,,,,,
FR_2_4_Brutus_38_T2,Sure…,30,Marcus,Brutus,5_MC,7_MO,,,,,
FR_2_4_Brutus_38_T3,What we please.,31,Marcus,Brutus,5_MC,5_MO,,,,,
FR_2_4_Red_39_T1,No that’s not-,32,Red,Brutus,7_MO_EI,5_MC,,,,,
FR_2_4_Julius_40_T1,Silence!,33,Red,Julius,5_MC_EI,7_MO_EI,,,,,
FR_2_4_Red_41_T1,Gasp!,34,Red,Julius,5_MO_EI,7_MC_EI,,,,,
Marcus_Laugh,HA HA HA!!!!,35,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh... ,36,Marcus,Brutus,6_MC,8_MO,,,,,
FR_2_4_Julius_42_T1,I don't have time to be dealing with this right now!  You know what I'm here for! ,37,Red,Julius,6_MC_EI,7_MO_EI,,,,,
FR_2_4_Julius_42_T2,Play my challenge.,38,Red,Julius,7_MC_EI,9_MO_EI,,,,,
FR_2_4_Julius_42_T3,If you win you can go on ahead.,39,Red,Julius,7_MC_EI,11_MO_EP,,,,,
FR_2_4_Julius_42_T4,If I win,40,Red,Julius,7_MC_EI,14_MO_EP,,,,,
FR_2_4_Julius_42_T5,you have to leave,41,Red,Julius,7_MC_EI,9_MO_EI,,,,,
FR_2_4_Julius_42_T6,me alone.,42,Red,Julius,7_MC_EI,7_MO_EI,,,,,
FR_2_4_RedWally_43_T1,...,43,Red,Wally,8_MC_EI,7_MC_EI,,,,,
FR_2_4_RedWally_43_T2,...,44,Red,Wally,6_MC_EI,10_MC_EI,,,,,
FR_2_4_RedWally_43_T3,Alright.,45,Red,Wally,1_MO_EI,1_MC_EI,,,,,
FR_2_4_Julius_44_T1,Good. Let’s get started.,46,Red,Julius,1_MC_EI,7_MO_EI,,,,,
FR_2_4_Red_45_T1,Alright Explorer! ,47,Red,Wally,14_MO_EP,5_MC_EP,,,,,
FR_2_4_Red_45_T2,Show him what you’ve learned!,48,Red,Wally,4_MO_EC,4_MC_EP,,,,,
FR_2_4_Wally_46_T1,We’re rooting for you! ,49,Red,Wally,14_MC_EP,5_MO_EP,,,,,
FR_2_4_Ollie_47_T1,I believe in you!,50,Ollie,,11_MO_EP,,,,,,
FR_2_4_Ollie_47_T2,Believe in you!,51,Ollie,,11_MO_EC,,,,,,bounce
,,,,,,,,,,,
$Title,PirateDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_5_Julius_1_T1,UGH!!,0,,Julius,,12_MO_EI,,,,,
FR_2_5_Julius_1_T2,Why can't I win!?,1,,Julius,,7_MO_EI,,,,,
FR_2_5_Marcus_2_T1,AGAIN!?,2,Marcus,Brutus,4_MO,5_MC,,,,,
FR_2_5_Brutus_3_T1,I'm not surprised…,3,Marcus,Brutus,5_MC,5_MO,,,,,
FR_2_5_Brutus_3_T2,Yawn…,4,Marcus,Brutus,5_MC,6_MO,,,,,
FR_2_5_Marcus_4_T1,Quiet you!,5,Marcus,Brutus,4_MO,7_MC,,,,,
FR_2_5_Red_5_T1,You’re so awesome!,6,Red,Wally,3_MO_EP,15_MC_EI,,,,,
FR_2_5_Red_5_T2,I knew you could do it!,7,Red,Wally,4_MO_EC,15_MC_EP,,,,,
FR_2_5_Wally_6_T1,Good job Explorer!,8,Red,Wally,2_MC_EP,4_MO_EP,,,,,
FR_2_5_Ollie_7_T1,Amazing! ,9,Ollie,,5_MO_EI,,,,,,
FR_2_5_Ollie_7_T2,Amazing! ,10,Ollie,,12_MO_EC,,,,,,bounce
FR_2_5_Julius_8_T1,I'll win soon! I promise you!,11,Ollie,Julius,6_MC_EI,7_MO_EI,,,,,
,,,,,,,,,,,
$Title,PirateDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_5_Marcus_9_T1,You heard him!,0,Marcus,Brutus,4_MO,5_MC,,,,,
FR_2_5_Marcus_9_T2,Just you wait!,1,Marcus,Brutus,5_MO,5_MC,,,,,
FR_2_5_Brutus_10_T1,Yawn…,2,Marcus,Brutus,5_MC,6_MO,,,,,
FR_2_5_Brutus_10_T2,See you soon…,3,Marcus,Brutus,5_MC,4_MO,,,,,
,,,,,,,,,,,
$Title,PirateDefeated_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_5_Ollie_11_T1,Wow…,0,Ollie,,14_MO_EI,,,,,,
FR_2_5_Ollie_11_T2,The Prince seems kinda mean... ,1,Ollie,,10_MO_EC,,,,,,
FR_2_5_Ollie_11_T3,Kinda mean.,2,Ollie,,14_MO_EI,,,,,,bounce
FR_2_5_Wally_12_T1,He’s a handful that’s for sure.,3,Wally,Ollie,3_MO_EO,14_MC_EI,,,,,
FR_2_5_Ollie_13_T1,I worry for this kingdom...,4,Wally,Ollie,2_MC_EI,14_MO_EI,,,,,
FR_2_5_Ollie_13_T2,this kingdom,5,Wally,Ollie,2_MC_EI,9_MO_EO,,,,,bounce
FR_2_5_Red_14_T1,Try not to worry Ollie,6,Red,Ollie,1_MO_EI,9_MC_EI,,,,,
FR_2_5_Red_14_T2,We have a plan!,7,Red,Ollie,2_MO_EI,9_MC_EI,,,,,
FR_2_5_Red_14_T3,We’re trying to remind the Prince to do what’s right!,8,Red,Ollie,3_MO_EC,9_MC_EI,,,,,
FR_2_5_Wally_15_T1,Yeah~ put your faith in us.,9,Wally,Ollie,5_MO_EI,9_MC_EI,,,,,
FR_2_5_Ollie_16_T1,If you say so. ,10,Wally,Ollie,2_MC_EI,10_MO_EI,,,,,
FR_2_5_Ollie_16_T2,Say so. ,11,Wally,Ollie,2_MC_EI,14_MO_EI,,,,,bounce
FR_2_5_Ollie_16_T3,In any case~ thank you for helping me and my ship!,12,Wally,Ollie,11_MC_EO,5_MO_EI,,,,,
FR_2_5_Ollie_16_T4,Come back anytime! ,13,Wally,Ollie,11_MC_EI,4_MO_EI,,,,,
FR_2_5_Ollie_16_T5,You’ll always be my crew! ,14,Wally,Ollie,4_MC_EI,11_MO_EP,,,,,
FR_2_5_Ollie_16_T6,My crew!,15,Wally,Ollie,4_MC_EI,12_MO_EI,,,,,bounce
FR_2_5_Red_17_T1,You’re very welcome!,16,Red,Ollie,1_MO_EI,11_MC_EI,,,,,
FR_2_5_Red_17_T2,We’ll come back soon! ,17,Red,Ollie,2_MO_EI,11_MC_EC,,,,,
FR_2_5_Wally_18_T1,Alright Explorer! Let's Move out! ,18,Red,Wally,3_MO_EP,5_MO_EP,,,,,
FR_2_5_Red_19_T1,Onwards!,19,Red,Wally,4_MO_EC,4_MC_EP,,,,,
,,,,,,,,,,,
$Title,MermaidIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
RedWally_Darwin,Darwin!,0,Red,Wally,4_MO_EC,4_MO_EI,,,,,
EJ_1_1_Darwin_2_T1,OH!,1,,Darwin,,5_MO_EI,,,,,
EJ_1_1_Darwin_2_T2,Hello guys!,2,,Darwin,,4_MO_EI,,,,,
EJ_1_1_Wally_3_T1,Please stop running off without us!,3,Wally,Darwin,7_MO_EI,5_MC_EI,,,,,
EJ_1_1_Red_4_T1,Darwin~,4,Red,Darwin,8_MO_EI,12_MC_EI,,,,,
EJ_1_1_Red_4_T2,when you run off like that it makes us worry! ,5,Red,Darwin,7_MO_EI,12_MC_EI,,,,,
EJ_1_1_Darwin_5_T1,Ah! ,6,Red,Darwin,5_MC_EI,5_MO_EI,,,,,
EJ_1_1_Darwin_5_T2,I did it again~ did I?!,7,Red,Darwin,8_MC_EI,11_MO_EC,,,,,
EJ_1_1_Darwin_5_T3,I’m so sorry my friends! I’ll try to not run off in the future.,8,Red,Darwin,8_MC_EI,2_MO_EI,,,,,
EJ_1_1_Wally_6_T1,Ha ha~,9,Wally,Darwin,4_MO_EI,2_MC_EC,,,,,
EJ_1_1_Wally_6_T2,I highly doubt that ,10,Wally,Darwin,11_MO_EI,2_MC_EI,,,,,
EJ_1_1_Red_7_T1,chuckles ,11,Red,Darwin,2_MO_EC,2_MC_EI,,,,,
EJ_1_1_Red_7_T2,We'll see~ thank you for apologizing!,12,Red,Darwin,3_MO_EI,2_MC_EI,,,,,
EJ_1_1_Red_7_T3,Wow!! Look at this beach! ,13,Red,Wally,4_MO_EI,6_MC_EI,,,,,
EJ_1_1_Wally_8_T1,Yeah it looks incredible!,14,Red,Wally,2_MC_EC,4_MO_EI,,,,,
EJ_1_1_Darwin_9_T1,Truly a sight indeed.,15,Red,Darwin,2_MC_EC,2_MO_EI,,,,,
EJ_1_1_Red_10_T1,By the way Darwin~,16,Red,Darwin,2_MO_EI,1_MC_EI,,,,,
EJ_1_1_Red_10_T2,have you thought of any new stories to tell the Prince?,17,Red,Darwin,9_MO_EI,2_MC_EI,,,,,
EJ_1_1_Darwin_11_T1,Oh!,18,Red,Darwin,2_MC_EI,5_MO_EI,,,,,
EJ_1_1_Darwin_11_T2,Yes of course! I wouldn’t have run off on you if I didn’t! ,19,Red,Darwin,3_MC_EC,4_MO_EI,,,,,
EJ_1_1_Wally_12_T1,What story did you think of this time?,20,Wally,Darwin,9_MO_EI,2_MC_EI,,,,,
EJ_1_1_Darwin_13_T1,Well you see-,21,Wally,Darwin,2_MC_EI,2_MO_EI,,,,,
EJ_1_1_Darwin_13_T2,Huh?!,22,Wally,Darwin,6_MC_EI,5_MO_EI,,,,,
RedWally_Oh,Oh!,23,Red,Wally,5_MO_EI,6_MO_EI,,,,,
,,,,,,,,,,,
$Title,MermaidIntro_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh... ,1,Marcus,Brutus,6_MC,8_MO,,,,,
EJ_1_1_Julius_14_T1,Darwin…,2,Darwin,Julius,6_MC_EI,1_MO_EI,,,,,
EJ_1_1_Darwin_15_T1,Your majesty...,3,Darwin,Julius,6_MO_EI,1_MC_EI,,,,,
EJ_1_1_Julius_16_T1,I guess we finally caught up to each other.,4,Darwin,Julius,6_MC_EI,1_MO_EI,,,,,
EJ_1_1_Darwin_17_T1,I was looking everywhere for you Julius! ,5,Darwin,Julius,6_MO_EI,10_MC_EI,,,,,
EJ_1_1_Julius_18_T1,You actually… ,6,Darwin,Julius,6_MC_EI,12_MO_EI,,,,,
EJ_1_1_Julius_18_T2,were?,7,Darwin,Julius,6_MC_EI,6_MO_EI,,,,,
EJ_1_1_Darwin_19_T1,Of course! ,8,Darwin,Julius,2_MO_EC,3_MC_EI,,,,,
EJ_1_1_Darwin_19_T2,Do you mind me telling you another story?,9,Darwin,Julius,2_MO_EI,3_MC_EO,,,,,
EJ_1_1_Julius_20_T1,I don’t…,10,Darwin,Julius,2_MC_EI,21_MO_EO,,,,,
EJ_1_1_Marcus_21_T1,ABSOLUTELY NOT!!,11,Darwin,Marcus,5_MC_EI,9_MO,,,,,
EJ_1_1_Marcus_21_T2,You’re wasting the Princes’ time and energy! We do NOT need any more of your stories,12,Darwin,Marcus,5_MC_EI,4_MO,,,,,
EJ_1_1_Marcus_21_T3,Leave the Prince alone and get out of our way!,13,Darwin,Marcus,6_MC_EI,5_MO,,,,,
EJ_1_1_Brutus_22_T1,Yeah…,14,Darwin,Brutus,6_MC_EI,5_MO,,,,,
EJ_1_1_Brutus_22_T2,Just leave us be…,15,Darwin,Brutus,6_MC_EI,4_MO,,,,,
EJ_1_1_Brutus_22_T3,Even though we were the ones bothering you…,16,Darwin,Brutus,6_MC_EI,3_MO,,,,,
EJ_1_1_Marcus_23_T1,Quiet!,17,Marcus,Brutus,4_MO,3_MC,,,,,
EJ_1_1_Red_24_T1,Let Darwin talk!,18,Red,Marcus,6_MO_EI,5_MC,,,,,
EJ_1_1_Red_24_T2,This is incredibly rude of you.,19,Red,Marcus,10_MO_EI,5_MC,,,,,
EJ_1_1_Darwin_25_T1,Do you remember when you were just a small cub~,20,Darwin,Julius,15_MO_EI,5_MC_EI,,,,,
EJ_1_1_Darwin_25_T2,and we were playing by the ocean next to the Clifftops?,21,Darwin,Julius,11_MO_EC,5_MC_EI,,,,,
EJ_1_1_Julius_26_T1,Yeah… I do.,22,Darwin,Julius,15_MC_EI,17_MO_EI,,,,,
EJ_1_1_Darwin_27_T1,And do you remember that poor little octopus who was tangled up in the plastic litter?,23,Darwin,Julius,12_MO_EI,1_MC_EI,,,,,
EJ_1_1_Julius_28_T1,Yeah.,24,Darwin,Julius,12_MC_EI,1_MO_EI,,,,,
EJ_1_1_Julius_28_T2,It was awful to see.,25,Darwin,Julius,12_MC_EI,3_MO_EO,,,,,
EJ_1_1_Julius_28_T3,I don’t know how people can throw things into the ocean~ with no regard to the animals that live there.,26,Darwin,Julius,12_MC_EI,3_MO_EI,,,,,
EJ_1_1_Darwin_31_T1,I know~ it was terrible.,27,Darwin,Julius,12_MO_EI,3_MC_EI,,,,,
EJ_1_1_Darwin_31_T2,But I remember that when you saw that poor octopus.,28,Darwin,Julius,2_MO_EI,3_MC_EI,,,,,
EJ_1_1_Darwin_31_T3,You didn't hesitate to rush in and save him. I remember you spent hours trying to untangle him until you finally did it.,29,Darwin,Julius,15_MO_EI,3_MC_EI,,,,,
EJ_1_1_Darwin_31_T4,I was so proud of you!,30,Darwin,Julius,2_MO_EC,10_MC_EI,,,,,
EJ_1_1_Julius_32_T1,I don’t know why you’re so proud of me.,31,Darwin,Julius,2_MC_EI,3_MO_EI,,,,,
EJ_1_1_Darwin_33_T1,How can I not be? ,32,Darwin,Julius,15_MO_EI,3_MC_EO,,,,,
EJ_1_1_Darwin_33_T2,The Julius I remember has a good heart and the most compassionate roar.,33,Darwin,Julius,2_MO_EC,10_MC_EI,,,,,
EJ_1_1_Julius_34_T1,gasp!,34,Darwin,Julius,2_MO_EI,10_MO_EI,,,,,
EJ_1_1_Darwin_35_T1,And I know one day~ THAT Julius will be an excellent King.,35,Darwin,Julius,15_MO_EI,10_MC_EI,,,,,
EJ_1_1_Julius_36_T1,Darwin…,36,Darwin,Julius,15_MC_EI,20_MO_EI,,,,,
EJ_1_1_Marcus_37_T1,Enough of this! ,37,Marcus,Julius,4_MO,10_MC_EI,,,,,
EJ_1_1_Marcus_37_T2,Your highness~ I am so tired of hearing these useless stories! I don’t understand! ,38,Marcus,Julius,5_MO,3_MC_EI,,,,,
EJ_1_1_Marcus_37_T3,It doesn’t change the fact that you can do whatever you want!,39,Marcus,Julius,4_MO,3_MC_EI,,,,,
EJ_1_1_Brutus_38_T1,Yawn…,40,Marcus,Brutus,5_MC,6_MO,,,,,
EJ_1_1_Brutus_38_T2,Yeah.,41,Marcus,Brutus,5_MC,7_MO,,,,,
EJ_1_1_Red_39_T1,Stop filling his head with this! It isn’t right! ,42,Red,Marcus,6_MO_EI,4_MC,,,,,
EJ_1_1_Marcus_40_T1,I~ am his friend~ and I~ know him best!  I~ know what he can and can't do!,43,Red,Marcus,6_MC_EI,4_MO,,,,,
EJ_1_1_Brutus_41_T1,Listen to us your majesty…,44,Brutus,Julius,4_MO,3_MC_EI,,,,,
EJ_1_1_Brutus_41_T2,We know what’s best… ,45,Brutus,Julius,3_MO,3_MC_EI,,,,,
EJ_1_1_Julius_42_T1,I…,46,Brutus,Julius,5_MC,3_MO_EI,,,,,
EJ_1_1_Darwin_43_T1,Julius please~ believe in yourself!,47,Darwin,Julius,6_MO_EI,3_MC_EI,,,,,
EJ_1_1_Julius_44_T1,...,48,Darwin,Julius,12_MC_EI,3_MC_EI,,,,,
EJ_1_1_Julius_44_T2,....!,49,Darwin,Julius,6_MC_EI,15_MC_EC,,,,,sink
EJ_1_1_Julius_44_T3,Get out of my head! Just leave me alone!,50,Darwin,Julius,6_MC_EI,15_MO_EC,,,,,shake
RedWally_Gasp,!!!,51,Red,Wally,5_MO_EI,6_MO_EI,,,,,
EJ_1_1_Darwin_46_T1,No! ,52,Darwin,Julius,14_MO_EI,22_MC_EI,,,,,
,,,,,,,,,,,
$Title,MermaidIntro_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh... ,1,Marcus,Brutus,6_MC,8_MO,,,,,
EJ_1_1_Julius_47_T1,I...,2,,Julius,,21_MO_EI,,,,,
EJ_1_1_Julius_47_T2,...I’m out of here..,3,,Julius,,21_MO_EO,,,,,
,,,,,,,,,,,
$Title,MermaidIntro_1_p4,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
EJ_1_1_Marcus_48_T1,Just give up already! Make like a tree and uh~ get outta here!,0,Marcus,Brutus,4_MO,4_MC,,,,,
EJ_1_1_Brutus_49_T1,Yeah… ,1,Marcus,Brutus,5_MC,4_MO,,,,,
EJ_1_1_Brutus_49_T2,I don’t think that’s how it goes…,2,Marcus,Brutus,5_MC,3_MO,,,,,
EJ_1_1_Marcus_49_T1,SILENCE! Let’s just leave!,3,Marcus,Brutus,4_MO,2_MC,,,,,
EJ_1_1_Brutus_50_T1,Yeah... that,4,Marcus,Brutus,5_MC,6_MO,,,,,
,,,,,,,,,,,
$Title,MermaidIntro_1_p5,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
EJ_1_1_Darwin_50_T1,Oh Julius…,0,Darwin,,12_MO_EI,,,,,,
EJ_1_1_Red_51_T1,Sigh..,1,Red,Wally,8_MO_EI,7_MC_EI,,,,,
EJ_1_1_Red_51_T2,I know he just destroyed this area~ but It seems like we’re getting through to him.,2,Red,Wally,7_MO_EI,7_MC_EI,,,,,
EJ_1_1_Wally_52_T1,I guess so.,3,Red,Wally,7_MC_EI,1_MO_EI,,,,,
EJ_1_1_Red_53_T1,What do you think Dar-,4,Red,Wally,1_MO_EI,1_MC_EI,,,,,
EJ_1_1_RedWally_54_T1,HELP US! PUH LEESAAH!,5,Red,Wally,5_MC_EI,6_MC_EI,,,,,shake
EJ_1_1_RedWally_55_T1,PLEASE HELP US!,6,Red,Wally,5_MC_EI,6_MC_EI,,,,,shake
RedWally_Oh,Oh!,7,Red,Wally,5_MO_EI,6_MO_EI,,,,,
EJ_1_1_Darwin_56_T1,Huh?!,8,Darwin,,5_MO_EI,,,,,,
EJ_1_1_Celeste_57_T1,Don’t just stand there help uuuussss!,9,Sylvie,Celeste,1_MC_EI,1_MO_EI,,,,,
EJ_1_1_Sylvie_58_T1,Please help us!,10,Sylvie,Celeste,1_MO_EI,1_MC_EI,,,,,
EJ_1_1_Red_59_T1,Oh no! ,11,Red,Celeste,5_MO_EI,2_MC_EI,,,,,
EJ_1_1_Red_59_T2,What happened to you two?!,12,Red,Celeste,7_MO_EI,2_MC_EC,,,,,
EJ_1_1_Wally_60_T1,Are you guys alright!?,13,Wally,Celeste,7_MO_EI,2_MC_EI,,,,,
EJ_1_1_Celeste_61_T1,Ugh! Do we look alright?!,14,Wally,Celeste,7_MC_EI,2_MO_EO,,,,,
EJ_1_1_Sylvie_62_T1,Celeste and I heard some yelling and so we swam up to investigate~,15,Wally,Sylvie,7_MC_EI,2_MO_EI,,,,,
EJ_1_1_Sylvie_62_T2,and I guess we just got caught up in it.,16,Wally,Sylvie,7_MC_EI,1_MO_EC,,,,,
EJ_1_1_Celeste_63_T1,Whatevaaa~ I just don’t feel well.,17,Celeste,Sylvie,1_MO_EC,1_MC_EI,,,,,
EJ_1_1_Celeste_63_T2,This trash STINKS!,18,Celeste,Sylvie,2_MO_EO,1_MC_EI,,,,,
EJ_1_1_Sylvie_64_T1,I don’t feel so good either…,19,Celeste,Sylvie,2_MC_EI,1_MO_EC,,,,,
EJ_1_1_Red_65_T1,Oh you poor things! ,20,Red,Sylvie,8_MO_EI,1_MC_EC,,,,,
EJ_1_1_Red_65_T2,Don’t worry~ my friends and I will patch you up! You’ll be all good as new!,21,Red,Sylvie,2_MO_EI,1_MC_EI,,,,,
EJ_1_1_Wally_66_T1,We’ll clean up as well~ just rest.,22,Wally,Sylvie,5_MO_EI,1_MC_EI,,,,,
EJ_1_1_Sylvie_67_T1,You’ll do that for us?,23,Celeste,Sylvie,3_MC_EI,3_MO_EI,,,,,
EJ_1_1_Celeste_68_T1,Seriously?,24,Celeste,Sylvie,3_MO_EI,3_MC_EI,,,,,
EJ_1_1_Red_69_T1,Of course! Just leave it to us!,25,Red,Sylvie,2_MO_EI,3_MC_EI,,,,,
EJ_1_1_Wally_70_T1,Darwin~,26,Wally,Darwin,1_MO_EI,10_MC_EO,,,,,
EJ_1_1_Wally_70_T2,Do you think you’ll be able to think of more stories while we clean up?,27,Wally,Darwin,9_MO_EI,5_MC_EI,,,,,
EJ_1_1_Darwin_71_T1,Haha! I think so!,28,Wally,Darwin,2_MC_EI,2_MO_EI,,,,,
EJ_1_1_Darwin_71_T2,Hmmm…,29,Wally,Darwin,2_MC_EI,9_MC_EO,,,,,
EJ_1_1_Red_72_T1,Alright team!,30,Red,,3_MO_EI,,,,,,
EJ_1_1_Red_72_T2,Let’s get to work!,31,Red,,14_MO_EP,,,,,,
EJ_1_1_Wally_73_T1,Right!,32,Red,Wally,2_MC_EC,5_MO_EI,,,,,
,,,,,,,,,,,
$Title,DarwinQuips_1_p2,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
EJ_1_2_Darwin_1_T1,We’re getting so uh.. close!,0,,Darwin,,8_MO_EP,,,,yes,
EJ_1_2_Darwin_2_T1,Keep it up Explorer! I believe in you!,1,,Darwin,,4_MO_EP,,,,yes,
EJ_1_2_Darwin_3_T1,Oh.. uhh.. Hey Explorer! I’m okay~ thanks for checking on me.,2,,Darwin,,2_MO_EP,,,,yes,
EJ_1_2_Darwin_4_T1,Stories… more stories...,3,,Darwin,,9_MO_EI,,,,yes,
EJ_1_2_Darwin_5_T1,I hope Julius is okay...,4,,Darwin,,6_MO_EI,,,,yes,
,,,,,,,,,,,
$Title,MermaidQuips_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
EJ_1_2_Celeste_1_T1,Can’t believe they trashed the ocean or whateva!,0,,Celeste,,1_MO_EI,,,,yes,
EJ_1_2_Sylvie_2_T1,Ugh this trash stinks~ please hurry up and help us clean it!,1,,Sylvie,,1_MO_EI,,,,yes,
EJ_1_2_Celeste_3_T1,It’s like~ not good to put plastic in the ocean or whateva!,2,Celeste,Sylvie,1_MO_EI,1_MC_EI,,,,,
EJ_1_2_Sylvie_3_T2,Yeah! Not cool!,3,Celeste,Sylvie,2_MC_EI,2_MO_EI,,,,yes,
,,,,,,,,,,,
$Title,MermaidQuips_2_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
EJ_1_3_Sylvie_1_T1,Hey Explorer! Wanna come in for a swim? The water’s great!,0,,Sylvie,,5_MO_EC,,,,yes,
EJ_1_3_Celeste_2_T1,Did you come to enjoy the sun too? I’m getting my like~ tan on!,1,,Celeste,,4_MO_EI,,,,yes,
EJ_1_3_Celeste_3_T1,I love hanging out with friends or whateva~ but especially with Sylvie!,2,Celeste,Sylvie,4_MO_EI,5_MC_EI,,,,,
EJ_1_3_Sylvie_3_T2,The water’s always better with you Celeste!,3,Celeste,Sylvie,8_MC_EI,8_MO_EI,,,,yes,
,,,,,,,,,,,
$Title,MermaidRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
